Geography,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Age Category,CreditScore Category,Exited
0,1,2,0.0,0,1,1,101348.88,2,0,464,2,2,1
1,1,1,83807.86,0,0,1,112542.58,3,0,456,2,2,0
0,1,8,159660.8,1,1,0,113931.57,3,0,377,2,1,1
0,1,1,0.0,0,0,0,93826.63,5,1,350,2,3,0
1,1,2,125510.82,0,1,1,79084.1,5,1,425,2,4,0
1,0,8,113755.78,0,1,0,149756.71,5,0,484,2,2,1
0,0,7,0.0,0,1,1,10062.8,2,3,206,3,4,0
2,1,4,115046.74,1,1,0,119346.88,2,0,282,1,0,1
0,0,4,142051.07,0,0,1,74940.5,3,1,251,2,1,0
0,0,2,134603.88,0,1,1,71725.73,3,1,342,1,3,0
0,0,6,102016.72,0,0,0,80181.12,3,1,264,1,1,0
1,0,3,0.0,0,1,0,76390.01,3,1,249,0,1,0
0,1,10,0.0,0,1,0,26260.98,3,3,119,1,1,0
0,1,5,0.0,0,0,0,190857.79,3,2,549,0,1,0
1,1,7,0.0,0,1,1,65951.65,2,1,318,1,2,0
2,0,3,143129.41,0,0,1,64327.26,5,1,308,2,2,0
2,0,1,132602.88,0,1,0,5097.67,2,3,163,3,3,1
1,1,9,0.0,0,1,1,14406.41,3,3,544,0,1,0
1,0,6,0.0,0,0,0,158684.81,3,2,732,2,2,0
0,1,6,0.0,0,1,1,54724.03,4,1,477,0,3,0
0,0,8,0.0,0,1,1,170886.17,3,2,568,2,3,0
1,1,8,0.0,0,1,0,138555.46,2,0,336,1,2,0
1,1,4,0.0,0,1,0,118913.53,2,0,887,2,1,1
0,0,3,0.0,0,0,1,8487.75,2,3,665,3,3,0
0,1,5,0.0,0,1,1,187616.16,3,2,225,2,4,0
0,0,3,0.0,0,0,1,124508.29,3,2,659,0,2,0
2,0,2,136815.64,0,1,1,170041.95,5,0,236,2,4,0
0,0,9,0.0,0,0,0,38433.35,4,2,448,2,2,0
2,1,3,141349.43,0,1,1,100187.43,5,0,499,2,2,0
0,0,0,59697.17,0,1,1,53483.21,2,1,343,1,0,0
1,1,3,0.0,1,1,0,140469.38,3,0,298,2,2,1
0,0,7,85311.7,0,0,1,156731.91,5,3,628,2,1,0
2,0,9,110112.54,0,0,0,81898.81,3,1,611,2,2,0
1,1,6,0.0,0,1,1,34410.55,2,3,922,2,1,0
1,1,9,0.0,0,1,1,142033.07,5,2,276,1,3,0
0,1,0,134264.04,0,1,0,27822.99,1,0,877,2,1,1
1,0,3,145260.23,0,0,1,114066.77,4,3,471,1,1,0
1,0,7,76548.6,0,0,1,98453.45,2,1,994,1,4,0
